piece_title,composer,year_of_composition,era,piece_slug
Piano Sonata No.2,"Ives, Charles",1909-15,Early 20th century,ives-charles-piano-sonata-no2
Violin Sonata No.4,"Ives, Charles",1900-16,Early 20th century,ives-charles-violin-sonata-no4
Violin Sonata No.2,"Ives, Charles","1914-17, rev. 1919",Early 20th century,ives-charles-violin-sonata-no2
Violin Sonata No.1,"Ives, Charles",1914,Early 20th century,ives-charles-violin-sonata-no1
The Unanswered Question,"Ives, Charles",1908,Early 20th century,ives-charles-the-unanswered-question
Tone Roads No.3,"Ives, Charles",1915,Early 20th century,ives-charles-tone-roads-no3
Tone Roads No.1,"Ives, Charles",1911,Early 20th century,ives-charles-tone-roads-no1
Three-Page Sonata,"Ives, Charles",,Early 20th century,ives-charles-threepage-sonata
Three Places in New England,"Ives, Charles","1903-14, rev.1929",Early 20th century,ives-charles-three-places-in-new-england
They Are There!,"Ives, Charles",1942,Early 20th century,ives-charles-they-are-there
A Symphony: New England Holidays,"Ives, Charles",1897-1913,Early 20th century,ives-charles-a-symphony-new-england-holidays
Symphony No.4,"Ives, Charles",1910 – mid-1920s,Early 20th century,ives-charles-symphony-no4
Symphony No.3,"Ives, Charles",1901-12,Early 20th century,ives-charles-symphony-no3
Symphony No.2,"Ives, Charles",1897-1901,Early 20th century,ives-charles-symphony-no2
Symphony No.1,"Ives, Charles",1898-1902,Early 20th century,ives-charles-symphony-no1
String Quartet No.2,"Ives, Charles",1907-13,Early 20th century,ives-charles-string-quartet-no2
String Quartet No.1,"Ives, Charles",1896,Early 20th century,ives-charles-string-quartet-no1
Some South-Paw Pitching,"Ives, Charles",,Early 20th century,ives-charles-some-southpaw-pitching
A Set of Pieces for Theatre or Chamber Orchestra,"Ives, Charles",,Early 20th century,ives-charles-a-set-of-pieces-for-theatre-or-chamber-orchestra
"A Set of 3 Short Pieces, S.84","Ives, Charles",1904,Early 20th century,ives-charles-a-set-of-3-short-pieces-s84
Scherzo for String Quartet,"Ives, Charles",1903/14,Early 20th century,ives-charles-scherzo-for-string-quartet
Piano Trio,"Ives, Charles","1904-11, rev.1915",Early 20th century,ives-charles-piano-trio
The Pond,"Ives, Charles","1906, rev. 1913",Early 20th century,ives-charles-the-pond
Robert Browning Overture,"Ives, Charles","1908-12 ca., revised 1942",Early 20th century,ives-charles-robert-browning-overture
"Das Augenlicht, Op.26","Webern, Anton",1935,Early 20th century,webern-anton-das-augenlicht-op26
"6 Bagatellen, Op.9","Webern, Anton","1910, 1913",Early 20th century,webern-anton-6-bagatellen-op9
"5 Canons, Op.16","Webern, Anton",1923-24,Early 20th century,webern-anton-5-canons-op16
"Concerto, Op.24","Webern, Anton",1934,Early 20th century,webern-anton-concerto-op24
"Entflieht auf leichten Kähnen, Op.2","Webern, Anton",1908,Early 20th century,webern-anton-entflieht-auf-leichten-khnen-op2
"5 Geistliche Lieder, Op.15","Webern, Anton",1917-22,Early 20th century,webern-anton-5-geistliche-lieder-op15
Geistlicher Volkstext,"Webern, Anton",,Early 20th century,webern-anton-geistlicher-volkstext
Im Sommerwind,"Webern, Anton",1904,Early 20th century,webern-anton-im-sommerwind
"Kantate I, Op.29","Webern, Anton",1938-40,Early 20th century,webern-anton-kantate-i-op29
"Kantate II, Op.31","Webern, Anton",1941-43,Early 20th century,webern-anton-kantate-ii-op31
Kinderstück,"Webern, Anton",1924,Early 20th century,webern-anton-kinderstck
Klavierstück,"Webern, Anton",1925,Early 20th century,webern-anton-klavierstck
"3 Kleine Stücke, Op.11","Webern, Anton",1914,Early 20th century,webern-anton-3-kleine-stcke-op11
"5 Lieder aus Der siebente Ring, Op.3","Webern, Anton",1908-09,Early 20th century,webern-anton-5-lieder-aus-der-siebente-ring-op3
3 Lieder for Voice and Orchestra,"Webern, Anton",1913-14,Early 20th century,webern-anton-3-lieder-for-voice-and-orchestra
"4 Lieder für Sopran und Kammerorchester, Op.13","Webern, Anton",1914-18,Early 20th century,webern-anton-4-lieder-fr-sopran-und-kammerorchester-op13
"Variations, Op.30","Webern, Anton",1940,Early 20th century,webern-anton-variations-op30
"Variations for Piano, Op.27","Webern, Anton",1935 October-1936 September,Early 20th century,webern-anton-variations-for-piano-op27
"3 Volkstexte, Op.17","Webern, Anton",1924-25,Early 20th century,webern-anton-3-volkstexte-op17
"Symphony, Op.21","Webern, Anton",1928,Early 20th century,webern-anton-symphony-op21
"String Trio, Op.20","Webern, Anton",1926-27,Early 20th century,webern-anton-string-trio-op20
String Quartet,"Webern, Anton",1905,Early 20th century,webern-anton-string-quartet
"String Quartet, Op.28","Webern, Anton",1936-38,Early 20th century,webern-anton-string-quartet-op28
Satz for String Trio,"Webern, Anton",1925,Early 20th century,webern-anton-satz-for-string-trio
"Quartet, Op.22","Webern, Anton",1928-30,Early 20th century,webern-anton-quartet-op22
"4 Pieces for Violin and Piano, Op.7","Webern, Anton","1910, rev.1914",Early 20th century,webern-anton-4-pieces-for-violin-and-piano-op7
"5 Pieces for Orchestra, Op.10","Webern, Anton",1913,Early 20th century,webern-anton-5-pieces-for-orchestra-op10
"6 Pieces for Large Orchestra, Op.6","Webern, Anton",1909 (by August) (orig. vers.)1928 (revision),Early 20th century,webern-anton-6-pieces-for-large-orchestra-op6
"Passacaglia, Op.1","Webern, Anton",,Early 20th century,webern-anton-passacaglia-op1
"5 Movements, Op.5","Webern, Anton",1909 (Str 4tet) ; 1928-29 (Str Orch),Early 20th century,webern-anton-5-movements-op5
"2 Lieder, Op.19","Webern, Anton",1925-26,Early 20th century,webern-anton-2-lieder-op19
"4 Lieder, Op.12","Webern, Anton",1915-1917,Early 20th century,webern-anton-4-lieder-op12
"5 Lieder nach Gedichten von Stefan George, Op.4","Webern, Anton",see below 5: 1908-9,Early 20th century,webern-anton-5-lieder-nach-gedichten-von-stefan-george-op4
"2 Lieder nach Gedichten von Rainer Maria Rilke, Op.8","Webern, Anton","1910, revised 1925, 1926",Early 20th century,webern-anton-2-lieder-nach-gedichten-von-rainer-maria-rilke-op8
"3 Lieder nach Gedichten von Hildegard Jone, Op.25","Webern, Anton",1934,Early 20th century,webern-anton-3-lieder-nach-gedichten-von-hildegard-jone-op25
"6 Lieder nach Gedichten von Georg Trakl, Op.14","Webern, Anton",1917-22,Early 20th century,webern-anton-6-lieder-nach-gedichten-von-georg-trakl-op14
"3 Lieder für Sopran, Klarinette und Gitarre, Op.18","Webern, Anton",1925,Early 20th century,webern-anton-3-lieder-fr-sopran-klarinette-und-gitarre-op18
7 Frühe Lieder,"Berg, Alban",1907,Early 20th century,berg-alban-7-frhe-lieder
"4 Gesänge, Op.2","Berg, Alban",1910,Early 20th century,berg-alban-4-gesnge-op2
"Im Walde, Op.7 No.1","Berg, Alban",,Early 20th century,berg-alban-im-walde-op7-no1
Impromptu in E major,"Berg, Alban",1907-08,Early 20th century,berg-alban-impromptu-in-e-major
Jugendlieder,"Berg, Alban",1901-04 (Volume 1)1904-08 (Volume 2)? (Volume 3),Early 20th century,berg-alban-jugendlieder
Kammerkonzert,"Berg, Alban",1923-25,Early 20th century,berg-alban-kammerkonzert
Klavierstück in B minor,"Berg, Alban",1907-08,Early 20th century,berg-alban-klavierstck-in-b-minor
Klavierstück in C minor,"Berg, Alban",1907-08,Early 20th century,berg-alban-klavierstck-in-c-minor
Klavierstück in C-sharp minor,"Berg, Alban",1907-08,Early 20th century,berg-alban-klavierstck-in-csharp-minor
Klavierstück in F minor,"Berg, Alban",1907-08,Early 20th century,berg-alban-klavierstck-in-f-minor
Kleiner Walzer in G major,"Berg, Alban",1907-08,Early 20th century,berg-alban-kleiner-walzer-in-g-major
Lulu Suite,"Berg, Alban",1934,Early 20th century,berg-alban-lulu-suite
Lulu,"Berg, Alban",1929–35,Early 20th century,berg-alban-lulu
Lyrische Suite,"Berg, Alban",1925-6,Early 20th century,berg-alban-lyrische-suite
Der Wein,"Berg, Alban",1929,Early 20th century,berg-alban-der-wein
"Wozzeck, Op.7","Berg, Alban",1914-1922,Early 20th century,berg-alban-wozzeck-op7
Violin Concerto,"Berg, Alban",1935,Early 20th century,berg-alban-violin-concerto
12 Variationen über ein eigenes Thema,"Berg, Alban",1908,Early 20th century,berg-alban-12-variationen-ber-ein-eigenes-thema
Thema und Variation in F minor,"Berg, Alban",1907-08,Early 20th century,berg-alban-thema-und-variation-in-f-minor
Thema und Variation in A minor,"Berg, Alban",1907-08,Early 20th century,berg-alban-thema-und-variation-in-a-minor
"4 Stücke, Op.5","Berg, Alban",1913 May,Early 20th century,berg-alban-4-stcke-op5
"String Quartet, Op.3","Berg, Alban",1910,Early 20th century,berg-alban-string-quartet-op3
Schliesse mir die Augen beide,"Berg, Alban","1900, 1925",Early 20th century,berg-alban-schliesse-mir-die-augen-beide
"Piano Sonata, Op.1","Berg, Alban",1907–1909?,Early 20th century,berg-alban-piano-sonata-op1
"3 Orchesterstücke, Op.6","Berg, Alban",1914-15,Early 20th century,berg-alban-3-orchesterstcke-op6
"5 Orchesterlieder, Op.4","Berg, Alban",1911-12,Early 20th century,berg-alban-5-orchesterlieder-op4
Menuet in F major,"Berg, Alban",1907-08,Early 20th century,berg-alban-menuet-in-f-major
Am Strande,"Schoenberg, Arnold",1909,Early 20th century,schoenberg-arnold-am-strande
"2 Balladen, Op.12","Schoenberg, Arnold",1907 (March-April),Early 20th century,schoenberg-arnold-2-balladen-op12
"Begleitungsmusik zu einer Lichtspielscene, Op.34","Schoenberg, Arnold",1929-30,Early 20th century,schoenberg-arnold-begleitungsmusik-zu-einer-lichtspielscene-op34
Brettllieder,"Schoenberg, Arnold",1901,Early 20th century,schoenberg-arnold-brettllieder
"Das Buch der hängenden Gärten, Op.15","Schoenberg, Arnold",1907-09,Early 20th century,schoenberg-arnold-das-buch-der-hngenden-grten-op15
30 Canons,"Schoenberg, Arnold",1905-49,Early 20th century,schoenberg-arnold-30-canons
Cello Concerto,"Schoenberg, Arnold",1932-33,Early 20th century,schoenberg-arnold-cello-concerto
Deutsche Volkslieder,"Schoenberg, Arnold",1930,Early 20th century,schoenberg-arnold-deutsche-volkslieder
"Dreimal tausend Jahre, Op.50a","Schoenberg, Arnold",1949,Early 20th century,schoenberg-arnold-dreimal-tausend-jahre-op50a
"Erwartung, Op.17","Schoenberg, Arnold",1909,Early 20th century,schoenberg-arnold-erwartung-op17
3 Folk Songs,"Schoenberg, Arnold",1928-29,Early 20th century,schoenberg-arnold-3-folk-songs
"3 Folk Songs, Op.49","Schoenberg, Arnold",1948,Early 20th century,schoenberg-arnold-3-folk-songs-op49
2 Fragments from the Organ Sonata,"Schoenberg, Arnold",1941,Early 20th century,schoenberg-arnold-2-fragments-from-the-organ-sonata
"Friede auf Erden, Op.13","Schoenberg, Arnold",1907: version A1911: version B,Early 20th century,schoenberg-arnold-friede-auf-erden-op13
Frühlings Tod,"Schoenberg, Arnold",1898,Early 20th century,schoenberg-arnold-frhlings-tod
Gedenken,"Schoenberg, Arnold",1893-1903 ca.,Early 20th century,schoenberg-arnold-gedenken
"2 Gesänge, Op.1","Schoenberg, Arnold",1898,Early 20th century,schoenberg-arnold-2-gesnge-op1
"Die glückliche Hand, Op.18","Schoenberg, Arnold",1910–13,Early 20th century,schoenberg-arnold-die-glckliche-hand-op18
Gurre-Lieder,"Schoenberg, Arnold","1900–03, 1910–11",Early 20th century,schoenberg-arnold-gurrelieder
"Herzgewächse, Op.20","Schoenberg, Arnold",1911 (December),Early 20th century,schoenberg-arnold-herzgewchse-op20
Die Jakobsleiter,"Schoenberg, Arnold",1915-54,Early 20th century,schoenberg-arnold-die-jakobsleiter
"Kammersymphonie No.1, Op.9","Schoenberg, Arnold",1906,Early 20th century,schoenberg-arnold-kammersymphonie-no1-op9
"Kammersymphonie No.2, Op.38","Schoenberg, Arnold","1906 (begun, sketched), taken up again and completed August–October 1939",Early 20th century,schoenberg-arnold-kammersymphonie-no2-op38
"Klavierstücke, Op.33","Schoenberg, Arnold","1929, 1931",Early 20th century,schoenberg-arnold-klavierstcke-op33
"Kol Nidre, Op.39","Schoenberg, Arnold",1938,Early 20th century,schoenberg-arnold-kol-nidre-op39
"4 Lieder, Op.2","Schoenberg, Arnold","1899 (1-3), 1900 (4)",Early 20th century,schoenberg-arnold-4-lieder-op2
"6 Lieder, Op.3","Schoenberg, Arnold",1899–1903,Early 20th century,schoenberg-arnold-6-lieder-op3
"8 Lieder, Op.6","Schoenberg, Arnold",1903-05,Early 20th century,schoenberg-arnold-8-lieder-op6
"2 Lieder, Op.14","Schoenberg, Arnold",1907-1908,Early 20th century,schoenberg-arnold-2-lieder-op14
"4 Lieder, Op.22","Schoenberg, Arnold",1913-16,Early 20th century,schoenberg-arnold-4-lieder-op22
"3 Lieder, Op.48","Schoenberg, Arnold",1933,Early 20th century,schoenberg-arnold-3-lieder-op48
"6 Little Piano Pieces, Op.19","Schoenberg, Arnold",1911,Early 20th century,schoenberg-arnold-6-little-piano-pieces-op19
Mädchenfrühling,"Schoenberg, Arnold",1897,Early 20th century,schoenberg-arnold-mdchenfrhling
"Moderner Psalm, Op.50c","Schoenberg, Arnold",1950-51,Early 20th century,schoenberg-arnold-moderner-psalm-op50c
"Wind Quintet, Op.26","Schoenberg, Arnold",1923 April-1924 August,Early 20th century,schoenberg-arnold-wind-quintet-op26
Waldesnacht,"Schoenberg, Arnold",1897,Early 20th century,schoenberg-arnold-waldesnacht
"Von heute auf morgen, Op.32","Schoenberg, Arnold",1928-1929 (January 1st),Early 20th century,schoenberg-arnold-von-heute-auf-morgen-op32
"Violin Concerto, Op.36","Schoenberg, Arnold",1936 (begun 1934 or 1935),Early 20th century,schoenberg-arnold-violin-concerto-op36
"Verklärte Nacht, Op.4","Schoenberg, Arnold",1899,Early 20th century,schoenberg-arnold-verklrte-nacht-op4
"Variations on a Recitative, Op.40","Schoenberg, Arnold",1941,Early 20th century,schoenberg-arnold-variations-on-a-recitative-op40
"Variations for Orchestra, Op.31","Schoenberg, Arnold",1928 (begun 1926),Early 20th century,schoenberg-arnold-variations-for-orchestra-op31
"Theme and Variations, Op.43","Schoenberg, Arnold",1943,Early 20th century,schoenberg-arnold-theme-and-variations-op43
"A Survivor from Warsaw, Op.46","Schoenberg, Arnold",1947 Summer,Early 20th century,schoenberg-arnold-a-survivor-from-warsaw-op46
"Suite, Op.29","Schoenberg, Arnold",1926,Early 20th century,schoenberg-arnold-suite-op29
"Suite, Op.25","Schoenberg, Arnold",1921–23,Early 20th century,schoenberg-arnold-suite-op25
Suite for String Orchestra,"Schoenberg, Arnold",1934,Early 20th century,schoenberg-arnold-suite-for-string-orchestra
"String Trio, Op.45","Schoenberg, Arnold",1946,Early 20th century,schoenberg-arnold-string-trio-op45
"String Quartet No.4, Op.37","Schoenberg, Arnold",1936,Early 20th century,schoenberg-arnold-string-quartet-no4-op37
"String Quartet No.3, Op.30","Schoenberg, Arnold",1927,Early 20th century,schoenberg-arnold-string-quartet-no3-op30
"String Quartet No.2, Op.10","Schoenberg, Arnold",1907-08,Early 20th century,schoenberg-arnold-string-quartet-no2-op10
"String Quartet No.1, Op.7","Schoenberg, Arnold",1904-05,Early 20th century,schoenberg-arnold-string-quartet-no1-op7
String Quartet in D major,"Schoenberg, Arnold",1897,Early 20th century,schoenberg-arnold-string-quartet-in-d-major
"Serenade, Op.24","Schoenberg, Arnold",1923-04-14 (date of completion),Early 20th century,schoenberg-arnold-serenade-op24
"3 Satiren, Op.28","Schoenberg, Arnold",1925 Nov.-Dec. partially recopied/fair copies completed in early 1926. Worked on in conjunction with op.27.,Early 20th century,schoenberg-arnold-3-satiren-op28
Moses und Aron,"Schoenberg, Arnold",1930-32,Early 20th century,schoenberg-arnold-moses-und-aron
Nicht doch!,"Schoenberg, Arnold",1897,Early 20th century,schoenberg-arnold-nicht-doch
Notturno for Harp and Strings,"Schoenberg, Arnold",1895-96 ca.,Early 20th century,schoenberg-arnold-notturno-for-harp-and-strings
"Ode to Napoleon Buonaparte, Op.41","Schoenberg, Arnold",1942 (string quartet and string orchestra versions)1943 (orchestral edition completed),Early 20th century,schoenberg-arnold-ode-to-napoleon-buonaparte-op41
"6 Orchester-Lieder, Op.8","Schoenberg, Arnold",1903-04,Early 20th century,schoenberg-arnold-6-orchesterlieder-op8
"Pelleas und Melisande, Op.5","Schoenberg, Arnold","1902-03, revised 1911, 1920.",Early 20th century,schoenberg-arnold-pelleas-und-melisande-op5
"Phantasy for Violin and Piano, Op.47","Schoenberg, Arnold",1949 (March),Early 20th century,schoenberg-arnold-phantasy-for-violin-and-piano-op47
"Piano Concerto, Op.42","Schoenberg, Arnold",1942 (June 27 - December 30),Early 20th century,schoenberg-arnold-piano-concerto-op42
3 Piano Pieces,"Schoenberg, Arnold",1894,Early 20th century,schoenberg-arnold-3-piano-pieces
3 Pieces for Chamber Orchestra,"Schoenberg, Arnold",1910,Early 20th century,schoenberg-arnold-3-pieces-for-chamber-orchestra
"5 Pieces for Orchestra, Op.16","Schoenberg, Arnold","1909 (original), 1949 (revision)",Early 20th century,schoenberg-arnold-5-pieces-for-orchestra-op16
6 Pieces for Piano Four Hands,"Schoenberg, Arnold",1896,Early 20th century,schoenberg-arnold-6-pieces-for-piano-four-hands
"3 Pieces, Op.11","Schoenberg, Arnold",1909 (revised 1924),Early 20th century,schoenberg-arnold-3-pieces-op11
"5 Pieces, Op.23","Schoenberg, Arnold","1920 (Nos.1-2), 1920/23 (No.4), 1923 (Nos.3, 5)",Early 20th century,schoenberg-arnold-5-pieces-op23
"4 Pieces, Op.27","Schoenberg, Arnold",1925,Early 20th century,schoenberg-arnold-4-pieces-op27
"6 Pieces, Op.35","Schoenberg, Arnold",1929-30,Early 20th century,schoenberg-arnold-6-pieces-op35
"Pierrot lunaire, Op.21","Schoenberg, Arnold",1912,Early 20th century,schoenberg-arnold-pierrot-lunaire-op21
"Prelude, Op.44","Schoenberg, Arnold",1945 (September 21-30),Early 20th century,schoenberg-arnold-prelude-op44
"Psalm 130, Op.50b","Schoenberg, Arnold",1950,Early 20th century,schoenberg-arnold-psalm-130-op50b
"American Rhapsody, Op.47","Dohnányi, Ernő",1953,Early 20th century,dohnnyi-ern-american-rhapsody-op47
"Aria for Flute and Piano, Op.48 No.1","Dohnányi, Ernő",1958,Early 20th century,dohnnyi-ern-aria-for-flute-and-piano-op48-no1
"Cello Sonata, Op.8","Dohnányi, Ernő",1899,Early 20th century,dohnnyi-ern-cello-sonata-op8
Essential Finger Exercises,"Dohnányi, Ernő",,Early 20th century,dohnnyi-ern-essential-finger-exercises
Fugue for Left Hand or Two Hands,"Dohnányi, Ernő",1913/07/31,Early 20th century,dohnnyi-ern-fugue-for-left-hand-or-two-hands
Gavotte and Musette,"Dohnányi, Ernő",1898 ca.,Early 20th century,dohnnyi-ern-gavotte-and-musette
"6 Gedichte, Op.14","Dohnányi, Ernő",,Early 20th century,dohnnyi-ern-6-gedichte-op14
"Humoresken in Form einer Suite, Op.17","Dohnányi, Ernő","1907, Berlin",Early 20th century,dohnnyi-ern-humoresken-in-form-einer-suite-op17
"4 Klavierstücke, Op.2","Dohnányi, Ernő",1896-97,Early 20th century,dohnnyi-ern-4-klavierstcke-op2
"6 Konzertetüden, Op.28","Dohnányi, Ernő",1916,Early 20th century,dohnnyi-ern-6-konzertetden-op28
"Konzertstück, Op.12","Dohnányi, Ernő",1904,Early 20th century,dohnnyi-ern-konzertstck-op12
"Missa in Dedicatione Ecclesiae, Op.35","Dohnányi, Ernő","1930 May 9, Budapest (completion date)",Early 20th century,dohnnyi-ern-missa-in-dedicatione-ecclesiae-op35
"Passacaglia for Flute Solo, Op.48 No.2","Dohnányi, Ernő","1959/06/13 at Tallahassee, Florida",Early 20th century,dohnnyi-ern-passacaglia-for-flute-solo-op48-no2
"Passacaglia, Op.6","Dohnányi, Ernő",1899,Early 20th century,dohnnyi-ern-passacaglia-op6
Pastorale on a Hungarian Christmas Song,"Dohnányi, Ernő",1920,Early 20th century,dohnnyi-ern-pastorale-on-a-hungarian-christmas-song
"Piano Concerto No.1, Op.5","Dohnányi, Ernő",1897-98,Early 20th century,dohnnyi-ern-piano-concerto-no1-op5
"Piano Concerto No.2, Op.42","Dohnányi, Ernő",1947,Early 20th century,dohnnyi-ern-piano-concerto-no2-op42
"Piano Quintet No.1, Op.1","Dohnányi, Ernő",1895,Early 20th century,dohnnyi-ern-piano-quintet-no1-op1
"Piano Quintet No.2, Op.26","Dohnányi, Ernő",1914,Early 20th century,dohnnyi-ern-piano-quintet-no2-op26
"6 Pieces for Piano, Op.41","Dohnányi, Ernő",1945,Early 20th century,dohnnyi-ern-6-pieces-for-piano-op41
"4 Rhapsodien, Op.11","Dohnányi, Ernő",1902-03,Early 20th century,dohnnyi-ern-4-rhapsodien-op11
"Ruralia hungarica, Op.32a","Dohnányi, Ernő",1924,Early 20th century,dohnnyi-ern-ruralia-hungarica-op32a
"Winterreigen, Op.13","Dohnányi, Ernő",1905,Early 20th century,dohnnyi-ern-winterreigen-op13
"Waltz, Op.3","Dohnányi, Ernő",1897,Early 20th century,dohnnyi-ern-waltz-op3
"Violin Sonata, Op.21","Dohnányi, Ernő",1911,Early 20th century,dohnnyi-ern-violin-sonata-op21
"Violin Concerto No.1, Op.27","Dohnányi, Ernő",1914-5,Early 20th century,dohnnyi-ern-violin-concerto-no1-op27
"Variations on a Hungarian Folksong, Op.29","Dohnányi, Ernő",1917,Early 20th century,dohnnyi-ern-variations-on-a-hungarian-folksong-op29
"Variationen und Fuge, Op.4","Dohnányi, Ernő",1897,Early 20th century,dohnnyi-ern-variationen-und-fuge-op4
"Der Tenor, Op.34","Dohnányi, Ernő","1927 September 23, Budapest",Early 20th century,dohnnyi-ern-der-tenor-op34
"Tante Simona, Op.20","Dohnányi, Ernő",,Early 20th century,dohnnyi-ern-tante-simona-op20
"Symphony No.2, Op.40","Dohnányi, Ernő",1944-56 (including revision),Early 20th century,dohnnyi-ern-symphony-no2-op40
"Symphony No.1, Op.9","Dohnányi, Ernő",1900-01,Early 20th century,dohnnyi-ern-symphony-no1-op9
"Symphonic Minutes, Op.36","Dohnányi, Ernő",1933,Early 20th century,dohnnyi-ern-symphonic-minutes-op36
"Suite, Op.19","Dohnányi, Ernő",1908-09,Early 20th century,dohnnyi-ern-suite-op19
"Suite in the Olden Style, Op.24","Dohnányi, Ernő",1913,Early 20th century,dohnnyi-ern-suite-in-the-olden-style-op24
"Suite en valse, Op.39","Dohnányi, Ernő",1943,Early 20th century,dohnnyi-ern-suite-en-valse-op39
"3 Stücke, Op.23","Dohnányi, Ernő",1912,Early 20th century,dohnnyi-ern-3-stcke-op23
String Sextet,"Dohnányi, Ernő","1893 (November 15)-96 (two versions- 1893, revised 1896), further revised 1898",Early 20th century,dohnnyi-ern-string-sextet
"String Quartet No.3, Op.33","Dohnányi, Ernő",1926,Early 20th century,dohnnyi-ern-string-quartet-no3-op33
"String Quartet No.2, Op.15","Dohnányi, Ernő",1906,Early 20th century,dohnnyi-ern-string-quartet-no2-op15
"String Quartet No.1, Op.7","Dohnányi, Ernő",1899,Early 20th century,dohnnyi-ern-string-quartet-no1-op7
"3 Singular Pieces, Op.44","Dohnányi, Ernő",1951,Early 20th century,dohnnyi-ern-3-singular-pieces-op44
"Sextet, Op.37","Dohnányi, Ernő",1935-04-03,Early 20th century,dohnnyi-ern-sextet-op37
"Serenade, Op.10","Dohnányi, Ernő",1902-3,Early 20th century,dohnnyi-ern-serenade-op10
"Der Schleier der Pierrette, Op.18","Dohnányi, Ernő",1908-09,Early 20th century,dohnnyi-ern-der-schleier-der-pierrette-op18
"Ruralia hungarica, Op.32b","Dohnányi, Ernő",1924,Early 20th century,dohnnyi-ern-ruralia-hungarica-op32b
"Ruralia hungarica, Op.32c","Dohnányi, Ernő",,Early 20th century,dohnnyi-ern-ruralia-hungarica-op32c
"Ruralia hungarica, Op.32d","Dohnányi, Ernő",,Early 20th century,dohnnyi-ern-ruralia-hungarica-op32d
2 Ballads,"Hindemith, Paul",1942,Modern,hindemith-paul-2-ballads
Bassoon Sonata,"Hindemith, Paul",1938 January-June,Modern,hindemith-paul-bassoon-sonata
Ascendente Jesu in naviculam,"Hindemith, Paul",1943,Modern,hindemith-paul-ascendente-jesu-in-naviculam
Apparebit repentina dies,"Hindemith, Paul","1947-02-23, New Haven",Modern,hindemith-paul-apparebit-repentina-dies
Angelus Domini apparuit,"Hindemith, Paul",1958,Modern,hindemith-paul-angelus-domini-apparuit
Anekdoten für Radio,"Hindemith, Paul",1925,Modern,hindemith-paul-anekdoten-fr-radio
Amor and Psyche,"Hindemith, Paul","1943 (July 20-23) (Sketches, Randolph, NH)1943 (July 28-August 1) (Full Score, New Haven)",Modern,hindemith-paul-amor-and-psyche
"Cardillac, Op.39","Hindemith, Paul",1925-26 (original version)  1925-10-12 (score begun)1925-11-30 in Frankfurt (Act I completed)1926 [February] in Leipzig (Act II completed)1926-05-20 in Leipzig? (Act III completed)   1948-52 (revised version)  1948 (begun revisions)1951 [October] (libretto completed)1952 [March-May] (bulk of revision completed),Modern,hindemith-paul-cardillac-op39
"Cello Concerto in E-flat major, Op.3","Hindemith, Paul","1915 (Late July, Mvt.1) - 1916-01-17 (Mvt.2) in Hungen, Nauheim, Iserlohn and Frankfurt1916 (March 20-mid April) (Definitive Score)",Modern,hindemith-paul-cello-concerto-in-eflat-major-op3
Cello Concerto,"Hindemith, Paul","1940 June – September, Lenox, Massachusetts",Modern,hindemith-paul-cello-concerto
Cello Sonata in E major,"Hindemith, Paul","1948-03-08, New Haven",Modern,hindemith-paul-cello-sonata-in-e-major
"Cello Sonata, Op.11 No.3","Hindemith, Paul",1919 (first version)1919-21 (second version),Modern,hindemith-paul-cello-sonata-op11-no3
"Cello Sonata, Op.25 No.3","Hindemith, Paul","1922-07-27/1922-08-01, Donaueschingen",Modern,hindemith-paul-cello-sonata-op25-no3
6 Chansons,"Hindemith, Paul","1939-09-(10-13), Bluche",Modern,hindemith-paul-6-chansons
Chöre für vier Männerstimmen,"Hindemith, Paul",1939-05-28 in Bluche,Modern,hindemith-paul-chre-fr-vier-mnnerstimmen
Chorlieder für Knaben,"Hindemith, Paul",1930 Spring-Summer,Modern,hindemith-paul-chorlieder-fr-knaben
Clarinet Concerto,"Hindemith, Paul",1947,Modern,hindemith-paul-clarinet-concerto
Clarinet Quartet,"Hindemith, Paul",1938,Modern,hindemith-paul-clarinet-quartet
"Clarinet Quintet, Op.30","Hindemith, Paul",1923 (first version)1954 (revised version),Modern,hindemith-paul-clarinet-quintet-op30
Clarinet Sonata,"Hindemith, Paul",1939-09 in Bluche,Modern,hindemith-paul-clarinet-sonata
"Concerto for Orchestra, Op.38","Hindemith, Paul",1925 Spring,Modern,hindemith-paul-concerto-for-orchestra-op38
"Concerto for Trumpet, Bassoon and Strings","Hindemith, Paul",1949,Modern,hindemith-paul-concerto-for-trumpet-bassoon-and-strings
"Concerto for Woodwinds, Harp and Orchestra","Hindemith, Paul",1949,Modern,hindemith-paul-concerto-for-woodwinds-harp-and-orchestra
Cum descendisset Jesus de monte,"Hindemith, Paul",1960 or 61?,Modern,hindemith-paul-cum-descendisset-jesus-de-monte
Cum factus esset Jesus annorum duodecim,"Hindemith, Paul",1959,Modern,hindemith-paul-cum-factus-esset-jesus-annorum-duodecim
Cum natus esset,"Hindemith, Paul",1941,Modern,hindemith-paul-cum-natus-esset
"Der Dämon, Op.28","Hindemith, Paul","1922 Fall, completed at Albersweiler bei Frankfurt.",Modern,hindemith-paul-der-dmon-op28
Defuncto Herode,"Hindemith, Paul",1958,Modern,hindemith-paul-defuncto-herode
The Demon of the Gibbet,"Hindemith, Paul","1949-04-29, New Haven",Modern,hindemith-paul-the-demon-of-the-gibbet
